Area,Average Price,Latitude,Longitude
Porwal Road,"5,322","18.61056041954277, 73.91136643946274",
Prabhat Road,"15,709","18.513909745938065, 73.83542316644512",
Punawale,"5,566","18.632663472652236, 73.73637620720459",
Raghav Nagar-Vadgaon Budruk,"4,294","18.55594862005939, 73.93107501115095",
Rahatni,"6,899","18.603887177792565, 73.78470640384555",
Rakshak Nagar,"7,146","18.55195905602022, 73.94526290125486",
Rambaug Colony,"11,268","18.51658853795317, 73.81668940412064",
Ravet,"5,671","18.660328257584393, 73.73211933178413",
Sadashiv Peth,"10,134","18.508575153991664, 73.84737057082637",
Salisbury Park,"10,406","18.490151812796352, 73.87424263164716",
Salunkhe Vihar,"6,950","18.47930628109268, 73.90450161511723",
Sasane Colony,"6,328","18.53244525909389, 73.94113678523195",
Sasane Nagar,"4,812","18.4927053857712, 73.93087680569005",
Satara Road,"5,497","18.452666697633823, 73.85707429898521",
Sector 29,"5,809","18.64794534201898, 73.75124536709836",
Senapati Bapat Road,"12,288","18.525507306092397, 73.82947447623228",
Shivaji Nagar,"13,439","18.531479355084276, 73.8441876415455",
Shivane,"4,360","18.466103991279045, 73.78210241997849",
Sinhagad Road,"6,695","18.457490923362993, 73.80523255955535",
Solapur Road,"3,482","18.501697947740485, 73.93143685848356",
Somatne Phata,"4,072","18.70699357882295, 73.69026696077205",
Sopan Baug,"10,594","18.514569565317114, 73.90398653972396",
Sukhsagar Nagar,"5,541","18.457011248849863, 73.86918174990694",
Sus,"6,071","18.5533395852492, 73.75306403887176",
Talegaon Dabhade,"4,103","18.732494866900055, 73.67487852867953",
Tathawade,"6,076","18.627912820281008, 73.74490222394344",
Thergaon,"6,462","18.61388430567871, 73.7751672845978",
Thite Nagar,"6,915","18.54455571458536, 73.93997202291274",
Tingre Nagar,"5,826","18.57613739663763, 73.8911712131181",
Ubale Nagar,"5,427","18.564291633524203, 73.95767973086353",
Uday Baug,"9,624","18.512276048817085, 73.90536992173995",
Undri,"5,120","18.45653734341195, 73.90933635303031",
Uruli Kanchan,"3,376","18.48728741801433, 74.13288179016352",
Vadgaon Budruk,"4,527","18.46641601013248, 73.82465270778548",
Vadgaon Maval,"4,202","18.739143077408592, 73.6365610721358",
Veerbhadra Nagar,"7,691","18.563454045101892, 73.77093729276532",
Viman Nagar,"8,491","18.568117195106176, 73.9142672533132",
Vishal Nagar,"7,665","18.58622253354961, 73.78116574924945",
Vishrantwadi,"6,572","18.57241743705216, 73.87824666578214",
Wadgaon Budruk,"6,274","18.460211872354286, 73.81745549672735",
Wadgaon Sheri,"7,074","18.551713090714593, 73.92082210756988",
Wagholi,"4,895","18.580728242171826, 73.985032441873",
Wakad,"6,682","18.60101096213358, 73.76389734848506",
Wanowrie,"6,268","18.494474275966912, 73.90949395662757",
Warje,"6,822","18.483663117534192, 73.78917169436134",
Yashwant Nagar,"4,292","18.55576942155225, 73.9351567775602",
Yerawada,"7,532","18.56065037647833, 73.87979518439018",
Yewale Wadi,"4,748","18.429853534988638, 73.88890150942441",
