Area,Average Price,Latitude,Longitude
Sukhsagar Nagar,"5,541",18.45701125,73.86918175
Sus,"6,071",18.55333959,73.75306404
Talegaon Dabhade,"4,103",18.73249487,73.67487853
Tathawade,"6,076",18.62791282,73.74490222
Thergaon,"6,462",18.61388431,73.77516728
Thite Nagar,"6,915",18.54455571,73.93997202
Tingre Nagar,"5,826",18.5761374,73.89117121
Ubale Nagar,"5,427",18.56429163,73.95767973
Uday Baug,"9,624",18.51227605,73.90536992
Undri,"5,120",18.45653734,73.90933635
Uruli Kanchan,"3,376",18.48728742,74.13288179
Vadgaon Budruk,"4,527",18.46641601,73.82465271
Vadgaon Maval,"4,202",18.73914308,73.63656107
Veerbhadra Nagar,"7,691",18.56345405,73.77093729
Viman Nagar,"8,491",18.5681172,73.91426725
Vishal Nagar,"7,665",18.58622253,73.78116575
Vishrantwadi,"6,572",18.57241744,73.87824667
Wadgaon Budruk,"6,274",18.46021187,73.8174555
Wadgaon Sheri,"7,074",18.55171309,73.92082211
Wagholi,"4,895",18.58072824,73.98503244
Wakad,"6,682",18.60101096,73.76389735
Wanowrie,"6,268",18.49447428,73.90949396
Warje,"6,822",18.48366312,73.78917169
Yashwant Nagar,"4,292",18.55576942,73.93515678
Yerawada,"7,532",18.56065038,73.87979518
Yewale Wadi,"4,748",18.42985353,73.88890151
